key,owningOrganizationKey,numberOfOccurrences,rights,standard license,use,distribution,derivatives,commercial,attribution,share alike,notification
93d6a225-e6b9-4932-80b5-1fb7ebbc243d,d4beb51b-b7cc-419e-b943-0e5254aac3ef,0,,,?,?,?,?,?,?,?
868ad223-8e90-45e7-ba2c-c69751663ab1,609d49d0-78fe-11dd-b871-b8a03c50a862,17527,,,?,?,?,?,?,?,?
d7435f14-dfc9-4aaa-bef3-5d1ed22d65bf,4c05ab8a-89b2-4b5f-9a90-14c0c2c7fd37,0,Copyright © 2013 by John H. Boyd III,,?,?,?,?,?,?,?
7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1,e2e717bf-551a-4917-bdc9-4fa0f342c530,187791,http://macaulaylibrary.org/terms-of-use,,true,true,true,false,true,?,false
9dbb55ce-0b38-4468-9172-40c8481edd2a,c3367060-856b-11d9-8486-b8a03c50a862,7971,,,?,?,?,?,?,?,?
7bb2d451-5ffa-4d58-bc7f-19ea7aecb201,3ead5cf3-2840-482e-bbd9-76380825be63,2381,Data from this dataset may be used and shared freely when the creators of the data are attributed correctly.,,true,true,true,true,true,?,false
e6d20998-59b1-4032-b4d1-bfe35671be54,3ead5cf3-2840-482e-bbd9-76380825be63,9379,Data from this dataset may be used and shared freely when the creators of the data are attributed correctly.,,true,true,true,true,true,?,false
7a28b1b1-9d4c-4aeb-b239-38865417b5ea,3ead5cf3-2840-482e-bbd9-76380825be63,16252,Data from this dataset may be used and shared freely when the creators of the data are attributed correctly.,,true,true,true,true,true,?,false
4300f8d5-1ae5-49e5-a101-63894b005868,838537fc-4aeb-4980-8b58-97fbdcd1d91a,533558,This [DATA(BASE)-NAME] is made available under the Open Data Commons Attribution License: http://www.opendatacommons.org/licenses/by/1.0/.,http://opendatacommons.org/licenses/by/1.0/,true,true,true,true,true,false,false
dbfacc33-350a-4620-976f-4d3a441aa242,a665e604-14e4-4aba-b93d-53755968eb14,0,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://creativecommons.org/publicdomain/zero/1.0/,true,true,true,true,false,false,false
cce1c58a-880b-4b93-acc7-98c9b85900cd,a665e604-14e4-4aba-b93d-53755968eb14,0,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://creativecommons.org/publicdomain/zero/1.0/,true,true,true,true,false,false,false
c690c2b5-8002-4d12-831c-9258dd618f78,9fdb5a90-a5a6-11dd-8d5f-b8a03c50a862,7019,"Use of the data for commercial or for-profit applications are permitted only via written permission from Instituto de Investigação Científica Tropical. Data are provided to users, but should not be passed on to third parties or redistributed. It is explicitly forbidden to incorporate these data into other databases of free or restricted access.",,true,false,false,false,false,?,false
231c5bcf-1b56-4905-a398-6d0e18f6de1a,9fdb5a90-a5a6-11dd-8d5f-b8a03c50a862,61097,"Use of the data for commercial or for-profit applications are permitted only via written permission from Instituto de Investigação Científica Tropical. Data are provided to users, but should not be passed on to third parties or redistributed. It is explicitly forbidden to incorporate these data into other databases of free or restricted access.",,true,false,false,false,false,?,false
c2139479-1a23-4050-94fe-ee2424a88fdf,c0252e99-c6d0-449e-8106-508be14c34fa,0,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://creativecommons.org/publicdomain/zero/1.0/,true,true,true,true,false,false,false
d922f0cd-fae6-4600-8daa-2b41bb4f76ad,c0252e99-c6d0-449e-8106-508be14c34fa,0,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://creativecommons.org/publicdomain/zero/1.0/,true,true,true,true,false,false,false
8eddc200-f535-4c65-9b4d-f723eafe607e,f56c5f80-055c-11d8-b84e-b8a03c50a862,63426,"PSM data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the PSM. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the PSM notified. The James R. Slater Museum of Natural History or its staff is not responsible for damages, injury or loss due to the use of these data.",,true,false,false,?,true,?,true
9c45867f-f77d-42f3-9751-ae16bb7c9bc8,b542788f-0dc2-4a2b-b652-fceced449591,4764,http://creativecommons.org/publicdomain/zero/1.0/ & http://www.canadensys.net/norms,http://creativecommons.org/publicdomain/zero/1.0/,true,true,true,true,false,false,false
7329dbf2-8c75-41be-a3a0-0cd0a368eb26,a2f1c6f5-88de-4fc5-891a-336259f32f4e,4347,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://creativecommons.org/publicdomain/zero/1.0/,true,true,true,true,false,false,false
fabf30b1-75fe-44fe-b386-3c7ea2d94f10,a2f1c6f5-88de-4fc5-891a-336259f32f4e,439,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://creativecommons.org/publicdomain/zero/1.0/,true,true,true,true,false,false,false
e6c97f6e-e952-11e2-961f-00145eb45e9a,10980920-6dad-11da-ad13-b8a03c50a862,5373,(see website),,?,?,?,?,?,?,?
ad0d1a24-e952-11e2-961f-00145eb45e9a,43cab2b0-0653-11d9-acb2-b8a03c50a862,763412,,,?,?,?,?,?,?,?
d44f84b0-e947-11e2-961f-00145eb45e9a,57254bd0-8256-11d8-b7ed-b8a03c50a862,610,,,?,?,?,?,?,?,?
b4e21aec-30ff-4867-8503-2bf8de3a4fe7,12b1df00-3f75-11d8-aa2d-b8a03c50a862,11136,,,?,?,?,?,?,?,?
a4ce2bbc-06ea-45d0-bfd8-41138d37a693,12b1df00-3f75-11d8-aa2d-b8a03c50a862,9136,,,?,?,?,?,?,?,?
1eaf5f7a-8f76-43eb-82f3-44979a433f0e,e116f5a9-c732-4d7d-98e7-af30725adf59,0,Data from this dataset may be used and shared freely when the creators of the data are attributed correctly.,,true,true,true,true,true,?,false
3b823447-b6b3-4424-80ae-643e877a1c8d,07f617d0-c688-11d8-bf62-b8a03c50a862,16195,,,?,?,?,?,?,?,?
3f0bfe27-b8d7-459e-8b83-1abc57aa669c,07f617d0-c688-11d8-bf62-b8a03c50a862,3382,,,?,?,?,?,?,?,?
75aa09b1-5991-4db9-8d17-014620145c23,07f617d0-c688-11d8-bf62-b8a03c50a862,243,,,?,?,?,?,?,?,?
fe2e460e-c925-47f8-ae05-1c8a9a349aa8,07f617d0-c688-11d8-bf62-b8a03c50a862,105,,,?,?,?,?,?,?,?
5d283bb6-64dd-4626-8b3b-a4e8db5415c3,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,156492,,,?,?,?,?,?,?,?
b8ed9b7c-5b73-4e6d-a6e1-b0911a09f947,ac5e8480-3714-11da-bc2e-b8a03c50a862,14427,"Oregon State University data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curator of the appropriate collection. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and Oregon State University notified. Oregon State University and its staff are not responsible for damages, injury or loss due to the use of these data.",,true,false,false,?,true,?,true
bd92e852-0fec-4679-82c2-b7e4ba66c48e,d2b97690-bfd6-11de-b279-d52977ace833,342156,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the The Flora of County Wexford dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",,true,true,true,true,true,?,false
