"#dataset-key","rights"
0bbc5ba0-d7f8-11e2-95e7-00145eb45e9a,© Zoologische Staatssammlung München
81e8220f-927a-4d06-8066-eb4a06cff8af,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the North-west Ireland Machair Breeding Waders 2009. dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
be7ebcf3-6053-4e00-9c07-989cf2d56b2d,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the National Newt Survey dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
23c19568-ce32-4f9b-bb22-bebc45887c5a,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Trichoptera (caddisflies) of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
69d34c60-554c-4db3-82fb-fb091ebd7eff,not supplied
97bd086a-cf43-11e2-a9b3-00145eb45e9a,© Jena Microbial Resource Collection (JMRC) at Leibniz Institute for Natural Product Research and Infection Biology e.V. Hans-Knöll-Institute (HKI) and Friedrich Schiller University Jena
45345d1e-7284-4086-bb8a-0c973f7871bc,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode
0e7bd6f7-7fc6-4150-a531-2209f7156a91,Data from this dataset may be used and shared freely when the creators of the data are attributed correctly.
32ab1d81-9131-45e3-ae74-69dd696341ea,Data from this dataset may be used and shared freely when the creators of the data are attributed correctly.
9dae1fa0-5800-4f18-8f4e-a87f05c73eb1,This work is licensed under a Creative Commons CCZero 1.0 License http://creativecommons.org/publicdomain/zero/1.0/legalcode
bbd0d2ad-053f-4041-894d-7426b322518a,not supplied
4281cf19-675f-478e-9059-9e1e6409f493,not supplied
8e70f647-d22e-4b48-b47a-c832cb111e95,not supplied
ac41e54f-2c17-4a28-94c0-4532f696d4df,not supplied
0bde8f26-2b00-43aa-b7e1-f376cdd881ca,not supplied
cd1f16e2-69e3-40d4-bb9d-a651d62e0a16,not supplied
280a04ae-7bae-4149-a3c5-2a7897d9ca59,not supplied
e28c5f1c-6183-4611-a496-aaa350799197,not supplied
2d90448b-ebc1-47db-98de-be0c5a6149e7,not supplied
ac2ba54a-dbe0-41b7-8798-ead8b076066e,not supplied
