key,owningOrganizationKey,numberOfOccurrences,rights,standard license,use,distribution,derivatives,commercial,attribution,share alike,notification
594e0bf8-d08c-4a69-9c76-1c620554e719,46fec380-8e1d-11dd-8679-b8a03c50a862,8706,not supplied,false,?,?,?,?,?,?,?
b3c4e139-2305-4679-9379-cc898866ae65,b62390e0-0e35-11d9-8431-b8a03c50a862,2467,not supplied,false,?,?,?,?,?,?,?
cc0e6535-6bb4-4703-a32c-077f5e1176cd,95cb537c-74c5-4c1e-ae24-32e7ea08f380,3772,not supplied,false,?,?,?,?,?,?,?
69f0f5c2-08b9-11e3-ab1f-00145eb45e9a,33aecde5-7e13-4272-9cb7-f4f3b0eb820c,1054,not supplied,false,?,?,?,?,?,?,?
6a122346-08b9-11e3-ab1f-00145eb45e9a,33aecde5-7e13-4272-9cb7-f4f3b0eb820c,54402,not supplied,false,?,?,?,?,?,?,?
98442b0b-9f7b-4924-9289-5b793946ca01,bb922300-7ddb-11de-a300-90ac77aa923f,628,not supplied,false,?,?,?,?,?,?,?
52a423d2-0486-4e77-bcee-6350d708d6ff,463555b0-d081-11da-ae8f-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
f2f9bf0c-1c74-4be0-80b3-f688d8e6547f,2a7e3080-28a9-11dd-97cd-b8a03c50a862,0,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,true,true,true,true,true,false,false,false
cf241014-c763-4e35-9baa-9065828fab11,2a7e3080-28a9-11dd-97cd-b8a03c50a862,0,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,true,true,true,true,true,false,false,false
6a6c9b42-b9e2-4b50-8743-3b4e185564ac,2a7e3080-28a9-11dd-97cd-b8a03c50a862,0,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,true,true,true,true,true,false,false,false
e45d425d-2404-40a5-b784-3634adc76d08,2a7e3080-28a9-11dd-97cd-b8a03c50a862,0,Esta [Listado de las Arañas de Colombia (Arachnida: Araneae)] se hace disponible bajo la licencia Open Data Commons Attribution: http://www.opendatacommons.org/licenses/by/1.0/,true,true,true,true,true,true,false,false
a7dcce0e-3aa1-487b-aac5-3e5142711306,2a7e3080-28a9-11dd-97cd-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
4c881adf-82dc-4f31-aea9-20887ce7d7c9,2a7e3080-28a9-11dd-97cd-b8a03c50a862,0,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,true,true,true,true,true,false,false,false
a6192000-74f3-47d5-89cf-ac39cc6eac00,37e82b90-1e21-11de-ab90-f72009d2669b,0,This work is licensed under a Creative Commons CCZero 1.0 License http://creativecommons.org/publicdomain/zero/1.0/legalcode,true,true,true,true,true,false,false,false
99f7df58-b668-4c3a-a7ef-dd30b698084c,37e82b90-1e21-11de-ab90-f72009d2669b,0,not supplied,false,?,?,?,?,?,?,?
d52d01f6-7472-4dbf-9ea8-a33c343255ac,8e1a7b73-e746-4d20-a0ba-e647ce0f9784,1116766,not supplied,false,?,?,?,?,?,?,?
55a6d696-082c-4dbb-9eba-214ef8476d0d,d4beb51b-b7cc-419e-b943-0e5254aac3ef,0,not supplied,false,?,?,?,?,?,?,?
66bcca47-4aac-4e37-910c-3de73bd61072,d4beb51b-b7cc-419e-b943-0e5254aac3ef,0,not supplied,false,?,?,?,?,?,?,?
5bc6a489-e74f-45b9-935c-66ed313a3c39,d4beb51b-b7cc-419e-b943-0e5254aac3ef,0,not supplied,false,?,?,?,?,?,?,?
93d6a225-e6b9-4932-80b5-1fb7ebbc243d,d4beb51b-b7cc-419e-b943-0e5254aac3ef,0,not supplied,false,?,?,?,?,?,?,?
868ad223-8e90-45e7-ba2c-c69751663ab1,609d49d0-78fe-11dd-b871-b8a03c50a862,17527,not supplied,false,?,?,?,?,?,?,?
d7435f14-dfc9-4aaa-bef3-5d1ed22d65bf,4c05ab8a-89b2-4b5f-9a90-14c0c2c7fd37,0,Copyright © 2013 by John H. Boyd III,false,?,?,?,?,?,?,?
7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1,e2e717bf-551a-4917-bdc9-4fa0f342c530,187791,http://macaulaylibrary.org/terms-of-use,false,true,true,true,false,true,?,false
9dbb55ce-0b38-4468-9172-40c8481edd2a,c3367060-856b-11d9-8486-b8a03c50a862,7971,not supplied,false,?,?,?,?,?,?,?
7bb2d451-5ffa-4d58-bc7f-19ea7aecb201,3ead5cf3-2840-482e-bbd9-76380825be63,2381,Data from this dataset may be used and shared freely when the creators of the data are attributed correctly.,false,true,true,true,true,true,?,false
e6d20998-59b1-4032-b4d1-bfe35671be54,3ead5cf3-2840-482e-bbd9-76380825be63,9379,Data from this dataset may be used and shared freely when the creators of the data are attributed correctly.,false,true,true,true,true,true,?,false
7a28b1b1-9d4c-4aeb-b239-38865417b5ea,3ead5cf3-2840-482e-bbd9-76380825be63,16252,Data from this dataset may be used and shared freely when the creators of the data are attributed correctly.,false,true,true,true,true,true,?,false
4300f8d5-1ae5-49e5-a101-63894b005868,838537fc-4aeb-4980-8b58-97fbdcd1d91a,533558,This [DATA(BASE)-NAME] is made available under the Open Data Commons Attribution License: http://www.opendatacommons.org/licenses/by/1.0/.,true,true,true,true,true,true,false,false
